Search Engine,Iteration,Total Energy (J),Average Power (W),Duration (s),Energy Delay Product,Temperature
Bing,1,130.68963623046875,38.63128472671261,3.33,"[435.19648864746097, 1449.204307196045, 4825.85034296283]",
DuckDuckGo,1,38.19012451171875,19.148094905680747,1.757,"[67.10004876708985, 117.89478568377683, 207.14113844639587]",
Mojeek,1,10.8482666015625,6.052636296172704,1.604,"[17.400619628906252, 27.91059388476563, 44.76859259116407]",
Startpage,1,72.7950439453125,10.450233651165988,6.869,"[500.0291568603515, 3434.7002784737547, 23592.95621283622]",
OceanHero,1,52.86651611328125,12.620218883550002,4.028,"[212.94632690429685, 857.7478047705076, 3455.008157615605]",
Ecosia,1,87.795654296875,18.372906248773155,4.632,"[406.66947070312494, 1883.6929882968748, 8725.265921791124]",
You.com,1,26.0008544921875,21.7534467483086,1.026,"[26.676876708984377, 27.370475503417968, 28.08210786650684]",
Google,1,23.7694091796875,8.521475042273323,2.66,"[63.226628417968755, 168.18283159179688, 447.3663320341798]",
Swisscows,1,21.918334960930224,6.476796302714327,3.14,"[68.82357177732091, 216.10601538078765, 678.5728882956732]",
Brave Search,1,67.35760498046875,26.008908891475073,2.376,"[160.04166943359374, 380.25900657421874, 903.4953996203436]",
Qwant,1,25.78643798828125,10.798340866114428,2.302,"[59.360380249023436, 136.64759533325196, 314.562764457146]",
OceanHero,2,81.01568603515625,19.348264732096137,4.171,"[337.91642645263676, 1409.4494147339478, 5878.813508855297]",
Bing,2,19.555114746101026,5.166931959475484,3.611,"[70.61351934817081, 254.9854183662448, 920.7523457205101]",
Mojeek,2,29.63763427734375,21.276119366363066,1.186,"[35.150234252929685, 41.688177823974605, 49.44217889923388]",
You.com,2,45.52593994140625,13.445323974537207,3.188,"[145.13669653320312, 462.6957885478516, 1475.074173890551]",
Ecosia,2,53.227294921875,38.17381235137743,1.235,"[65.73570922851563, 81.1836008972168, 100.26174710806276]",
Qwant,2,31.699462890625,15.923466537937973,1.963,"[62.226045654296875, 122.14972761938478, 239.7799153168523]",
Brave Search,2,22.1917724609375,9.293037043943677,2.142,"[47.53477661132812, 101.81949150146484, 218.09735079613768]",
Startpage,2,89.51531982421875,12.837274051619707,6.697,"[599.484096862793, 4014.7449966901245, 26886.74724283376]",
DuckDuckGo,2,14.68695068359375,10.543396039909368,1.2,"[17.6243408203125, 21.149208984375, 25.379050781249997]",
Google,2,25.52386474609375,8.010500519718956,3.16,"[80.65541259765625, 254.8711038085938, 805.3926880351563]",
Swisscows,2,23.45654296875,7.362861345760787,3.012,"[70.651107421875, 212.8011355546875, 640.9570202907187]",
Google,3,12.40325927734375,4.44514661406923,2.559,"[31.73994049072266, 81.22250771575929, 207.84839724462802]",
DuckDuckGo,3,59.1693115234375,29.701289498027243,1.82,"[107.68814697265626, 195.99242749023438, 356.7062180322266]",
Swisscows,3,66.13153076171875,25.549611201100156,2.377,"[157.19464862060545, 373.65167977117915, 888.1700428160927]",
Startpage,3,132.55999755859375,18.47623410802657,7.056,"[935.3433427734375, 6599.782626609375, 46568.06621335575]",
OceanHero,3,42.22222900390625,11.166947633934475,3.621,"[152.88669122314454, 553.6027089190063, 2004.595408995722]",
Mojeek,3,17.8585205078125,12.820187012069274,1.369,"[24.44831457519531, 33.46974265344238, 45.82007769256262]",
Brave Search,3,19.28314208984375,6.917062226765805,2.457,"[47.37868011474609, 116.40941704193114, 286.0179376720248]",
Qwant,3,13.222412109375,5.535929310860944,2.181,"[28.838080810546877, 62.89585424780273, 137.17585811445778]",
Ecosia,3,15.3843994140625,9.644253793074258,1.465,"[22.538145141601564, 33.01838263244629, 48.37193055653382]",
You.com,3,115.6514892578125,36.32270391262955,3.022,"[349.49880053710933, 1056.1853752231443, 3191.792203924342]",
Bing,3,60.9033203125,15.302341787060303,3.864,"[235.3304296875, 909.3167803125, 3513.6000391274993]",
Swisscows,4,10.0771484375,4.207748975386372,2.186,"[22.028646484375, 48.15462121484374, 105.26600197564842]",
Brave Search,4,24.21435546875,10.11059311905999,2.209,"[53.48951123046875, 118.15833030810548, 261.011751650605]",
You.com,4,36.79443359375,11.50693097905298,3.12,"[114.7986328125, 358.171734375, 1117.49581125]",
Google,4,10.817138671875,3.1827389330614473,3.256,"[35.220603515625, 114.67828504687499, 373.39249611262494]",
Ecosia,4,11.49505615234375,5.2433632562671315,1.839,"[21.139408264160156, 38.87537179779052, 71.49180873613678]",
Startpage,4,11.16436767578125,1.6423001741820313,6.624,"[73.95277148437499, 489.8631583125, 3244.853560662]",
Qwant,4,13.387451171875,3.9475132296362325,3.137,"[41.99643432617187, 131.74281448120118, 413.27720902752804]",
Mojeek,4,5.43731689453125,3.8925153372190198,1.062,"[5.774430541992188, 6.1324452355957035, 6.512656840202638]",
OceanHero,4,21.63531494140625,5.41650505640998,3.751,"[81.15406634521484, 304.40890286090087, 1141.8377946312391]",
Bing,4,14.72259521484375,4.095869378495123,3.478,"[51.205186157226564, 178.091637454834, 619.4027150679127]",
DuckDuckGo,4,15.733154296875,5.628134678870076,2.678,"[42.13338720703125, 112.83321094042968, 302.1673388984707]",
DuckDuckGo,5,9.8876953125,4.503577569131167,1.87,"[18.489990234375, 34.57628173828125, 64.65764685058595]",
Mojeek,5,4.834228515625,3.0216981897402047,1.48,"[7.154658203125, 10.588894140625, 15.671563328124998]",
Brave Search,5,12.40228271484375,4.448263547613907,2.622,"[32.51878527832031, 85.26425499975586, 223.56287660935985]",
Bing,5,13.18072509765625,3.479156938062021,3.499,"[46.11935711669922, 161.37163055133058, 564.6393352991057]",
Startpage,5,10.54034423828125,1.550344703396925,6.624,"[69.819240234375, 462.4826473125, 3063.485055798]",
Ecosia,5,10.62359619140625,5.913924276329564,1.682,"[17.868888793945313, 30.055470951416012, 50.55330214028173]",
Qwant,5,10.8873291015625,4.554342784274563,2.112,"[22.9940390625, 48.5634105, 102.56592297600001]",
OceanHero,5,12.49212646484375,3.297307524722709,3.535,"[44.159667053222655, 156.1044230331421, 551.8291354221574]",
