Metric,Engine A,Engine B,Mean A,Mean B,Test Used,Statistic,p-value,Effect Size,Percentage Change (%),Effect Size (non normal),Effect Size (Cohen's d)
Total Energy (J),Bing,Bing,21.577244059246006,21.577244059246006,Welch t-test,0.0,1.0,0.0,0.0,,
Total Energy (J),Bing,DuckDuckGo,21.577244059246006,17.490578206382633,Welch t-test,0.898129884334436,0.37432999508913156,0.23189613898389763,-18.939702594281066,,
Total Energy (J),Bing,Mojeek,21.577244059246006,7.21708374023195,Mann-Whitney U,849.0,3.824890705314935e-09,,-66.5523376367457,0.9433333333333334,
Total Energy (J),Bing,Startpage,21.577244059246006,20.681154378254238,Mann-Whitney U,662.0,0.0017665641434145185,,-4.152938524175365,0.7355555555555555,
Total Energy (J),Bing,OceanHero,21.577244059246006,20.65232137044465,Mann-Whitney U,522.0,0.2904721494938346,,-4.286565449515875,0.58,
Total Energy (J),Bing,Ecosia,21.577244059246006,15.552020263672846,Mann-Whitney U,751.0,8.882879790830555e-06,,-27.92397295516203,0.8344444444444444,
Total Energy (J),Bing,You.com,21.577244059246006,27.587994384766596,Mann-Whitney U,133.0,2.87897208006701e-06,,27.85689548218712,0.14777777777777779,
Total Energy (J),Bing,Google,21.577244059246006,7.562809244791667,Welch t-test,3.32469882273074,0.0022396629514772845,0.858433544772771,-64.95006858139074,,
Total Energy (J),Bing,Swisscows,21.577244059246006,13.254549153646076,Welch t-test,1.8248484973839576,0.07522357658458552,0.47117385598131317,-38.571630754825684,,
Total Energy (J),Bing,Brave Search,21.577244059246006,13.66390380859278,Mann-Whitney U,741.0,1.7479133317173934e-05,,-36.67447162818878,0.8233333333333334,
Total Energy (J),Bing,Qwant,21.577244059246006,13.008162434895834,Welch t-test,2.0150544986290475,0.0521407597465413,0.5202848343260423,-39.71351299925747,,
Total Energy (J),DuckDuckGo,Bing,17.490578206382633,21.577244059246006,Welch t-test,-0.898129884334436,0.37432999508913156,-0.23189613898389763,23.364955718685582,,
Total Energy (J),DuckDuckGo,DuckDuckGo,17.490578206382633,17.490578206382633,Welch t-test,0.0,1.0,0.0,0.0,,
Total Energy (J),DuckDuckGo,Mojeek,17.490578206382633,7.21708374023195,Mann-Whitney U,830.0,2.0152212384295336e-08,,-58.73730613663588,0.9222222222222223,
Total Energy (J),DuckDuckGo,Startpage,17.490578206382633,20.681154378254238,Mann-Whitney U,557.0,0.11536235969206284,,18.241684947312407,0.6188888888888889,
Total Energy (J),DuckDuckGo,OceanHero,17.490578206382633,20.65232137044465,Mann-Whitney U,399.0,0.4552969069031376,,18.076836150037845,0.44333333333333336,
Total Energy (J),DuckDuckGo,Ecosia,17.490578206382633,15.552020263672846,Mann-Whitney U,595.0,0.03265093917842125,,-11.083441152347792,0.6611111111111111,
Total Energy (J),DuckDuckGo,You.com,17.490578206382633,27.587994384766596,Mann-Whitney U,157.0,1.5291673925716366e-05,,57.73060249488625,0.17444444444444446,
Total Energy (J),DuckDuckGo,Google,17.490578206382633,7.562809244791667,Welch t-test,4.643944870900774,3.489226222637621e-05,1.1990614097136032,-56.76066762600303,,
Total Energy (J),DuckDuckGo,Swisscows,17.490578206382633,13.254549153646076,Welch t-test,1.5363332127706923,0.12989528513638687,0.39667952981908183,-24.21891948198003,,
Total Energy (J),DuckDuckGo,Brave Search,17.490578206382633,13.66390380859278,Mann-Whitney U,643.0,0.004427193167173018,,-21.87848996549142,0.7144444444444444,
Total Energy (J),DuckDuckGo,Qwant,17.490578206382633,13.008162434895834,Welch t-test,2.027883588902261,0.048511617776220956,0.5235972911910521,-25.627602007182837,,
Total Energy (J),Mojeek,Bing,7.21708374023195,21.577244059246006,Mann-Whitney U,51.0,3.824890705314935e-09,,198.9745558716842,0.056666666666666664,
Total Energy (J),Mojeek,DuckDuckGo,7.21708374023195,17.490578206382633,Mann-Whitney U,70.0,2.0152212384295336e-08,,142.34966415701453,0.07777777777777778,
Total Energy (J),Mojeek,Mojeek,7.21708374023195,7.21708374023195,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),Mojeek,Startpage,7.21708374023195,20.681154378254238,Mann-Whitney U,89.0,9.83289055492182e-08,,186.55832636340682,0.09888888888888889,
Total Energy (J),Mojeek,OceanHero,7.21708374023195,20.65232137044465,Mann-Whitney U,47.0,2.6694713877402857e-09,,186.15881585684505,0.052222222222222225,
Total Energy (J),Mojeek,Ecosia,7.21708374023195,15.552020263672846,Mann-Whitney U,91.0,1.1566543205869282e-07,,115.4889817472593,0.10111111111111111,
Total Energy (J),Mojeek,You.com,7.21708374023195,27.587994384766596,Mann-Whitney U,22.0,2.6098527879558533e-10,,282.2595854191924,0.024444444444444446,
Total Energy (J),Mojeek,Google,7.21708374023195,7.562809244791667,Mann-Whitney U,385.0,0.34028846509891686,,4.790376792116939,0.42777777777777776,
Total Energy (J),Mojeek,Swisscows,7.21708374023195,13.254549153646076,Mann-Whitney U,98.0,2.028294855539196e-07,,83.65519412997816,0.10888888888888888,
Total Energy (J),Mojeek,Brave Search,7.21708374023195,13.66390380859278,Mann-Whitney U,108.0,4.4440478739951943e-07,,89.32721720301996,0.12,
Total Energy (J),Mojeek,Qwant,7.21708374023195,13.008162434895834,Mann-Whitney U,115.0,7.599145368665679e-07,,80.2412567611106,0.12777777777777777,
Total Energy (J),Startpage,Bing,20.681154378254238,21.577244059246006,Mann-Whitney U,238.0,0.0017665641434145185,,4.332880382799065,0.2644444444444444,
Total Energy (J),Startpage,DuckDuckGo,20.681154378254238,17.490578206382633,Mann-Whitney U,343.0,0.11536235969206284,,-15.427456869750088,0.3811111111111111,
Total Energy (J),Startpage,Mojeek,20.681154378254238,7.21708374023195,Mann-Whitney U,811.0,9.83289055492182e-08,,-65.1030904357034,0.9011111111111111,
Total Energy (J),Startpage,Startpage,20.681154378254238,20.681154378254238,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),Startpage,OceanHero,20.681154378254238,20.65232137044465,Mann-Whitney U,234.0,0.0014423282031954528,,-0.13941682017472604,0.26,
Total Energy (J),Startpage,Ecosia,20.681154378254238,15.552020263672846,Mann-Whitney U,415.0,0.6100075520376812,,-24.801004918635293,0.46111111111111114,
Total Energy (J),Startpage,You.com,20.681154378254238,27.587994384766596,Mann-Whitney U,125.0,1.6062129082998958e-06,,33.39678182459071,0.1388888888888889,
Total Energy (J),Startpage,Google,20.681154378254238,7.562809244791667,Mann-Whitney U,811.0,9.83289055492182e-08,,-63.43139697876929,0.9011111111111111,
Total Energy (J),Startpage,Swisscows,20.681154378254238,13.254549153646076,Mann-Whitney U,494.0,0.5201446121616038,,-35.91001299432815,0.5488888888888889,
Total Energy (J),Startpage,Brave Search,20.681154378254238,13.66390380859278,Mann-Whitney U,533.0,0.22257289646656508,,-33.93065223206272,0.5922222222222222,
Total Energy (J),Startpage,Qwant,20.681154378254238,13.008162434895834,Mann-Whitney U,425.0,0.717188813606376,,-37.10137163052359,0.4722222222222222,
Total Energy (J),OceanHero,Bing,20.65232137044465,21.577244059246006,Mann-Whitney U,378.0,0.2904721494938346,,4.478541042485444,0.42,
Total Energy (J),OceanHero,DuckDuckGo,20.65232137044465,17.490578206382633,Mann-Whitney U,501.0,0.4552969069031376,,-15.309383905805179,0.5566666666666666,
Total Energy (J),OceanHero,Mojeek,20.65232137044465,7.21708374023195,Mann-Whitney U,853.0,2.6694713877402857e-09,,-65.05437035005541,0.9477777777777778,
Total Energy (J),OceanHero,Startpage,20.65232137044465,20.681154378254238,Mann-Whitney U,666.0,0.0014423282031954528,,0.13961146203569566,0.74,
Total Energy (J),OceanHero,OceanHero,20.65232137044465,20.65232137044465,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),OceanHero,Ecosia,20.65232137044465,15.552020263672846,Mann-Whitney U,709.0,0.0001324951052218608,,-24.69601850216605,0.7877777777777778,
Total Energy (J),OceanHero,You.com,20.65232137044465,27.587994384766596,Mann-Whitney U,225.0,0.0009030694895713402,,33.58301902200459,0.25,
Total Energy (J),OceanHero,Google,20.65232137044465,7.562809244791667,Mann-Whitney U,845.0,5.4617466566169245e-09,,-63.38034301744533,0.9388888888888889,
Total Energy (J),OceanHero,Swisscows,20.65232137044465,13.254549153646076,Mann-Whitney U,774.0,1.7290312624849194e-06,,-35.820536026451045,0.86,
Total Energy (J),OceanHero,Brave Search,20.65232137044465,13.66390380859278,Mann-Whitney U,712.0,0.00011057725968083765,,-33.83841184968645,0.7911111111111111,
Total Energy (J),OceanHero,Qwant,20.65232137044465,13.008162434895834,Mann-Whitney U,704.0,0.00017835554843874464,,-37.01355793585656,0.7822222222222223,
Total Energy (J),Ecosia,Bing,15.552020263672846,21.577244059246006,Mann-Whitney U,149.0,8.882879790830555e-06,,38.74238647725509,0.16555555555555557,
Total Energy (J),Ecosia,DuckDuckGo,15.552020263672846,17.490578206382633,Mann-Whitney U,305.0,0.03265093917842125,,12.464991106254944,0.3388888888888889,
Total Energy (J),Ecosia,Mojeek,15.552020263672846,7.21708374023195,Mann-Whitney U,809.0,1.1566543205869282e-07,,-53.593915016366324,0.8988888888888888,
Total Energy (J),Ecosia,Startpage,15.552020263672846,20.681154378254238,Mann-Whitney U,485.0,0.6100075520376812,,32.98050045988089,0.5388888888888889,
Total Energy (J),Ecosia,OceanHero,15.552020263672846,20.65232137044465,Mann-Whitney U,191.0,0.0001324951052218608,,32.795103274687285,0.21222222222222223,
Total Energy (J),Ecosia,Ecosia,15.552020263672846,15.552020263672846,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),Ecosia,You.com,15.552020263672846,27.587994384766596,Mann-Whitney U,79.0,4.310612299972247e-08,,77.39170806771615,0.08777777777777777,
Total Energy (J),Ecosia,Google,15.552020263672846,7.562809244791667,Mann-Whitney U,793.0,4.1127057365406515e-07,,-51.370888691180284,0.8811111111111111,
Total Energy (J),Ecosia,Swisscows,15.552020263672846,13.254549153646076,Mann-Whitney U,532.0,0.22823006680742364,,-14.772814535184942,0.5911111111111111,
Total Energy (J),Ecosia,Brave Search,15.552020263672846,13.66390380859278,Mann-Whitney U,526.0,0.26432621279678536,,-12.14065068761786,0.5844444444444444,
Total Energy (J),Ecosia,Qwant,15.552020263672846,13.008162434895834,Mann-Whitney U,438.0,0.8649937061644875,,-16.357089211869646,0.4866666666666667,
Total Energy (J),You.com,Bing,27.587994384766596,21.577244059246006,Mann-Whitney U,767.0,2.87897208006701e-06,,-21.787558173636487,0.8522222222222222,
Total Energy (J),You.com,DuckDuckGo,27.587994384766596,17.490578206382633,Mann-Whitney U,743.0,1.5291673925716366e-05,,-36.60076204727483,0.8255555555555556,
Total Energy (J),You.com,Mojeek,27.587994384766596,7.21708374023195,Mann-Whitney U,878.0,2.6098527879558533e-10,,-73.83976653186124,0.9755555555555555,
Total Energy (J),You.com,Startpage,27.587994384766596,20.681154378254238,Mann-Whitney U,775.0,1.6062129082998958e-06,,-25.035672800941782,0.8611111111111112,
Total Energy (J),You.com,OceanHero,27.587994384766596,20.65232137044465,Mann-Whitney U,675.0,0.0009030694895713402,,-25.140185682188086,0.75,
Total Energy (J),You.com,Ecosia,27.587994384766596,15.552020263672846,Mann-Whitney U,821.0,4.310612299972247e-08,,-43.62757927680207,0.9122222222222223,
Total Energy (J),You.com,You.com,27.587994384766596,27.587994384766596,Mann-Whitney U,450.0,1.0,,0.0,0.5,
Total Energy (J),You.com,Google,27.587994384766596,7.562809244791667,Mann-Whitney U,858.0,1.6947244610469585e-09,,-72.58659277903993,0.9533333333333334,
Total Energy (J),You.com,Swisscows,27.587994384766596,13.254549153646076,Mann-Whitney U,814.0,7.694963560950099e-08,,-51.95537243923426,0.9044444444444445,
Total Energy (J),You.com,Brave Search,27.587994384766596,13.66390380859278,Mann-Whitney U,803.0,1.8730978430511631e-07,,-50.471557960959835,0.8922222222222222,
Total Energy (J),You.com,Qwant,27.587994384766596,13.008162434895834,Mann-Whitney U,805.0,1.596405099603832e-07,,-52.84846642538604,0.8944444444444445,
Total Energy (J),Google,Bing,7.562809244791667,21.577244059246006,Welch t-test,-3.32469882273074,0.0022396629514772845,-0.858433544772771,185.30726296059578,,
Total Energy (J),Google,DuckDuckGo,7.562809244791667,17.490578206382633,Welch t-test,-4.643944870900774,3.489226222637621e-05,-1.1990614097136032,131.2709158759755,,
Total Energy (J),Google,Mojeek,7.562809244791667,7.21708374023195,Mann-Whitney U,515.0,0.34028846509891686,,-4.571389987097847,0.5722222222222222,
Total Energy (J),Google,Startpage,7.562809244791667,20.681154378254238,Mann-Whitney U,89.0,9.83289055492182e-08,,173.45862772483486,0.09888888888888889,
Total Energy (J),Google,OceanHero,7.562809244791667,20.65232137044465,Mann-Whitney U,55.0,5.4617466566169245e-09,,173.07738040156747,0.06111111111111111,
Total Energy (J),Google,Ecosia,7.562809244791667,15.552020263672846,Mann-Whitney U,107.0,4.1127057365406515e-07,,105.63814001236598,0.11888888888888889,
Total Energy (J),Google,You.com,7.562809244791667,27.587994384766596,Mann-Whitney U,42.0,1.6947244610469585e-09,,264.78500900661766,0.04666666666666667,
