Search Engine,Mode,Incognito,Autocomplete,Start Time,End Time
Bing,Light Mode,False,True,1740036119223,1740036132607
DuckDuckGo,Light Mode,False,True,1740036135774,1740036150277
Brave Search,Light Mode,False,True,1740036150380,1740036163935
Qwant,Light Mode,False,True,1740036174801,1740036188181
Mojeek,Light Mode,False,True,1740036191365,1740036204183
Bing,Dark Mode,False,True,1740036216542,1740036229404
DuckDuckGo,Dark Mode,False,True,1740036232583,1740036245867
Brave Search,Dark Mode,False,True,1740036245975,1740036259515
Qwant,Dark Mode,False,True,1740036270570,1740036284347
Mojeek,Dark Mode,False,True,1740036287654,1740036300508
Bing,Light Mode,True,True,1740036313085,1740036326031
DuckDuckGo,Light Mode,True,True,1740036329137,1740036343460
Brave Search,Light Mode,True,True,1740036343535,1740036357642
Qwant,Light Mode,True,True,1740036368785,1740036382135
Mojeek,Light Mode,True,True,1740036385233,1740036398161
Bing,Dark Mode,True,True,1740036411613,1740036424701
DuckDuckGo,Dark Mode,True,True,1740036427854,1740036442355
Brave Search,Dark Mode,True,True,1740036442435,1740036456096
Qwant,Dark Mode,True,True,1740036467317,1740036480935
Mojeek,Dark Mode,True,True,1740036484017,1740036496868
Bing,Light Mode,False,False,1740036509141,1740036521996
DuckDuckGo,Light Mode,False,False,1740036525087,1740036539535
Brave Search,Light Mode,False,False,1740036539637,1740036553246
Qwant,Light Mode,False,False,1740036564251,1740036577573
Mojeek,Light Mode,False,False,1740036580716,1740036593559
Bing,Dark Mode,False,False,1740036605913,1740036618883
DuckDuckGo,Dark Mode,False,False,1740036621958,1740036636448
Brave Search,Dark Mode,False,False,1740036636549,1740036650329
Qwant,Dark Mode,False,False,1740036661244,1740036674605
Mojeek,Dark Mode,False,False,1740036677737,1740036690622
