Search Engine,Start Time,End Time,Raw Duration (ms),Baseline Overhead (ms),Normalized Duration (ms),Iteration
DuckDuckGo,1740645795766,1740645803018,7252,4821,2431,1
Brave Search,1740645854715,1740645861077,6362,5167,1195,1
OceanHero,1740645861180,1740645873027,11847,7250,4597,1
You.com,1740645873131,1740645880417,7286,4569,2717,1
Bing,1740645913684,1740645925083,11399,12613,0,1
Mojeek,1740645925198,1740645930578,5380,5413,0,1
Swisscows,1740645930672,1740645937303,6631,4781,1850,1
Google,1740645937425,1740645971390,33965,31837,2128,1
Ecosia,1740645971482,1740645980157,8675,13661,0,1
Qwant,1740645980257,1740645987459,7202,6590,612,1
Startpage,1740645987544,1740646000485,12941,6317,6624,1
Startpage,1740646060594,1740646074247,13653,6317,7336,2
Ecosia,1740646074348,1740646082694,8346,13661,0,2
You.com,1740646082794,1740646090366,7572,4569,3003,2
DuckDuckGo,1740646090478,1740646097006,6528,4821,1707,2
Google,1740646097119,1740646132171,35052,31837,3215,2
OceanHero,1740646132262,1740646144540,12278,7250,5028,2
Bing,1740646144650,1740646156132,11482,12613,0,2
Swisscows,1740646156552,1740646163391,6839,4781,2058,2
Mojeek,1740646163494,1740646169232,5738,5413,325,2
Brave Search,1740646169332,1740646175103,5771,5167,604,2
Qwant,1740646208546,1740646215888,7342,6590,752,2
Swisscows,1740646275987,1740646282959,6972,4781,2191,3
Google,1740646283059,1740646316173,33114,31837,1277,3
Ecosia,1740646346245,1740646354140,7895,13661,0,3
Startpage,1740646354245,1740646367403,13158,6317,6841,3
Brave Search,1740646367501,1740646372757,5256,5167,89,3
DuckDuckGo,1740646372871,1740646380018,7147,4821,2326,3
Bing,1740646380130,1740646391142,11012,12613,0,3
Mojeek,1740646391267,1740646396655,5388,5413,0,3
Qwant,1740646396754,1740646403005,6251,6590,0,3
You.com,1740646403085,1740646410229,7144,4569,2575,3
OceanHero,1740646410334,1740646421953,11619,7250,4369,3
OceanHero,1740646482067,1740646493304,11237,7250,3987,4
Brave Search,1740646493679,1740646499263,5584,5167,417,4
Qwant,1740646499377,1740646505350,5973,6590,0,4
Google,1740646505449,1740646540870,35421,31837,3584,4
Bing,1740646540973,1740646551479,10506,12613,0,4
Swisscows,1740646585725,1740646592091,6366,4781,1585,4
You.com,1740646592186,1740646600167,7981,4569,3412,4
Ecosia,1740646600261,1740646608220,7959,13661,0,4
DuckDuckGo,1740646608324,1740646614014,5690,4821,869,4
Startpage,1740646614110,1740646626591,12481,6317,6164,4
Mojeek,1740646626692,1740646631781,5089,5413,0,4
DuckDuckGo,1740646691884,1740646698556,6672,4821,1851,5
You.com,1740646698647,1740646706475,7828,4569,3259,5
OceanHero,1740646706569,1740646718610,12041,7250,4791,5
Mojeek,1740646718709,1740646723754,5045,5413,0,5
Google,1740646755468,1740646788557,33089,31837,1252,5
Bing,1740646788661,1740646800203,11542,12613,0,5
Brave Search,1740646800628,1740646806904,6276,5167,1109,5
Qwant,1740646807006,1740646814374,7368,6590,778,5
Swisscows,1740646814466,1740646820606,6140,4781,1359,5
Ecosia,1740646820712,1740646830097,9385,13661,0,5
Startpage,1740646830203,1740646841872,11669,6317,5352,5
Qwant,1740646901967,1740646908509,6542,6590,0,6
DuckDuckGo,1740646936729,1740646942320,5591,4821,770,6
Ecosia,1740646942418,1740646950896,8478,13661,0,6
You.com,1740646951006,1740646958106,7100,4569,2531,6
Startpage,1740646958215,1740646970720,12505,6317,6188,6
Swisscows,1740646970811,1740646977751,6940,4781,2159,6
OceanHero,1740646977848,1740646988945,11097,7250,3847,6
Google,1740646989063,1740647023376,34313,31837,2476,6
Bing,1740647023466,1740647034817,11351,12613,0,6
Mojeek,1740647034937,1740647040282,5345,5413,0,6
Brave Search,1740647040379,1740647046355,5976,5167,809,6
You.com,1740647136988,1740647144149,7161,4569,2592,7
DuckDuckGo,1740647144546,1740647151201,6655,4821,1834,7
Bing,1740647151307,1740647162058,10751,12613,0,7
Mojeek,1740647162170,1740647168520,6350,5413,937,7
Ecosia,1740647168618,1740647176406,7788,13661,0,7
Startpage,1740647176499,1740647189226,12727,6317,6410,7
Brave Search,1740647189328,1740647194471,5143,5167,0,7
Qwant,1740647194584,1740647201765,7181,6590,591,7
Swisscows,1740647201851,1740647208526,6675,4781,1894,7
OceanHero,1740647208614,1740647219684,11070,7250,3820,7
Google,1740647219785,1740647253289,33504,31837,1667,7
You.com,1740647313401,1740647319560,6159,4569,1590,8
DuckDuckGo,1740647319662,1740647326139,6477,4821,1656,8
Startpage,1740647326249,1740647338379,12130,6317,5813,8
Brave Search,1740647338478,1740647344433,5955,5167,788,8
Bing,1740647344540,1740647356716,12176,12613,0,8
Mojeek,1740647356834,1740647361835,5001,5413,0,8
