Search Engine,Start Time,End Time,Raw Duration (ms),Baseline Overhead (ms),Normalized Duration (ms),Iteration
Bing,1740650854115,1740650865470,11355,0,11355,1
OceanHero,1740650866149,1740650877457,11308,0,11308,1
Mojeek,1740650877612,1740650883820,6208,0,6208,1
Ecosia,1740650883928,1740650892061,8133,0,8133,1
Brave Search,1740650892249,1740650898590,6341,0,6341,1
Google,1740650898737,1740650932489,33752,0,33752,1
Startpage,1740650932618,1740650945992,13374,0,13374,1
Qwant,1740650946171,1740650952468,6297,0,6297,1
DuckDuckGo,1740650952571,1740650960200,7629,0,7629,1
You.com,1740650960337,1740650968769,8432,0,8432,1
Swisscows,1740651001435,1740651008962,7527,0,7527,1
